"Freq [GHz]","dB(S(Port_clt1_prime_end,Port_clt1_prime_start)) []"
6.175,-0.00336483743601309
6.1765,-0.00336645582113228
6.178,-0.00336807457472941
6.1795,-0.00336969369676029
6.181,-0.00337131318717015
6.1825,-0.00337293304591579
6.184,-0.00337455327294145
6.1855,-0.003376173868202
6.187,-0.00337779483164265
6.1885,-0.00337941616321636
6.19,-0.00338103786287218
6.1915,-0.0033826599305592
6.193,-0.00338428236622746
6.1945,-0.00338590516982603
6.196,-0.0033875283413069
6.1975,-0.00338915188061141
6.199,-0.00339077578769636
6.2005,-0.00339240006250504
6.202,-0.00339402470499038
6.2035,-0.00339564971509568
6.205,-0.00339727509277194
6.2065,-0.0033989008379692
6.208,-0.00340052695063075
6.2095,-0.00340215343070857
6.211,-0.0034037802781469
6.2125,-0.00340540749289578
6.214,-0.00340703507490334
6.2155,-0.00340866302411285
6.217,-0.00341029134046954
6.2185,-0.0034119200239273
6.22,-0.00341354907443233
6.2215,-0.00341517849192308
6.223,-0.00341680827635152
6.2245,-0.00341843842766481
6.226,-0.00342006894580816
6.2275,-0.00342169983072293
6.229,-0.00342333108236206
6.2305,-0.00342496270066401
6.232,-0.00342659468558075
6.2335,-0.00342822703705075
6.235,-0.00342985975502309
6.2365,-0.00343149283944298
6.238,-0.00343312629025275
6.2395,-0.00343476010739954
6.241,-0.00343639429082665
6.2425,-0.0034380288404764
6.244,-0.003439663756294
6.2455,-0.00344129903822372
6.247,-0.0034429346862098
6.2485,-0.00344457070019553
6.25,-0.00344620708012227
6.2515,-0.00344784382593525
6.253,-0.00344948093757581
6.2545,-0.00345111841498918
6.256,-0.00345275625811576
6.2575,-0.00345439446689689
6.259,-0.00345603304127878
6.2605,-0.00345767198119891
6.262,-0.00345931128660346
6.2635,-0.00346095095743188
6.265,-0.00346259099362455
6.2665,-0.00346423139512573
6.268,-0.00346587216187484
6.2695,-0.00346751329381326
6.271,-0.00346915479088233
6.2725,-0.00347079665302052
6.274,-0.00347243888016919
6.2755,-0.0034740814722697
6.277,-0.00347572442926148
6.2785,-0.00347736775108589
6.28,-0.00347901143767947
6.2815,-0.00348065548898261
6.283,-0.00348229990493957
6.2845,-0.00348394468548012
6.286,-0.00348558983055045
6.2875,-0.00348723534008806
6.289,-0.00348888121402853
6.2905,-0.00349052745231514
6.292,-0.00349217405488056
6.2935,-0.00349382102166713
6.295,-0.00349546835260751
6.2965,-0.00349711604764694
6.298,-0.00349876410671614
6.2995,-0.00350041252975457
6.301,-0.00350206131669971
6.3025,-0.00350371046748328
6.304,-0.00350535998204953
6.3055,-0.00350700986033306
6.307,-0.00350866010226657
6.3085,-0.00351031070778754
6.31,-0.00351196167683154
6.3115,-0.00351361300933609
6.313,-0.00351526470523385
6.3145,-0.00351691676445943
6.316,-0.00351856918695226
6.3175,-0.00352022197264308
6.319,-0.00352187512146555
6.3205,-0.00352352863335716
6.322,-0.00352518250824866
6.3235,-0.00352683674607755
6.325,-0.00352849134677457
6.3265,-0.00353014631027434
6.328,-0.00353180163650952
6.3295,-0.00353345732541474
6.331,-0.00353511337691976
6.3325,-0.00353676979095823
6.334,-0.00353842656746283
6.3355,-0.00354008370636623
6.337,-0.00354174120760015
6.3385,-0.00354339907109244
6.34,-0.0035450572967835
6.3415,-0.00354671588459442
6.343,-0.00354837483446174
6.3445,-0.00355003414631427
6.346,-0.00355169382008181
6.3475,-0.00355335385569993
6.349,-0.00355501425309067
6.3505,-0.00355667501219156
6.352,-0.00355833613292561
6.3535,-0.00355999761522744
6.355,-0.003561659459022
6.3565,-0.00356332166423811
6.358,-0.00356498423080845
6.3595,-0.00356664715865797
6.361,-0.0035683104477155
6.3625,-0.00356997409790985
6.364,-0.00357163810916887
6.3655,-0.00357330248141656
6.367,-0.00357496721458464
6.3685,-0.00357663230859709
6.37,-0.00357829776338273
6.3715,-0.0035799635788646
6.373,-0.00358162975497344
6.3745,-0.00358329629163035
6.376,-0.00358496318876414
6.3775,-0.00358663044629978
6.379,-0.00358829806416127
6.3805,-0.00358996604227548
6.382,-0.00359163438056641
6.3835,-0.0035933030789571
6.385,-0.00359497213737154
6.3865,-0.00359664155573468
6.388,-0.00359831133397052
6.3895,-0.00359998147200208
6.391,-0.00360165196975241
6.3925,-0.00360332282714259
6.394,-0.00360499404409953
6.3955,-0.00360666562053948
6.397,-0.00360833755638934
6.3985,-0.00361000985156732
6.4,-0.00361168250600127
6.4015,-0.00361335551960361
6.403,-0.00361502889230218
6.4045,-0.00361670262401327
6.406,-0.00361837671465797
6.4075,-0.00362005116415932
6.409,-0.00362172597243455
6.4105,-0.0036234011394038
6.412,-0.00362507666498817
6.4135,-0.003626752549102
6.415,-0.0036284287916664
6.4165,-0.0036301053926015
6.418,-0.00363178235182261
6.4195,-0.00363345966925083
6.421,-0.00363513734480147
6.4225,-0.00363681537839178
6.424,-0.00363849376993802
6.4255,-0.00364017251935841
6.427,-0.00364185162657114
6.4285,-0.00364353109148864
6.43,-0.00364521091402622
6.4315,-0.00364689109410304
6.433,-0.00364857163163249
6.4345,-0.00365025252652891
6.436,-0.00365193377870666
6.4375,-0.00365361538807814
6.439,-0.00365529735456542
6.4405,-0.00365697967807127
6.442,-0.00365866235851486
6.4435,-0.0036603453958115
6.445,-0.00366202878986975
6.4465,-0.00366371254060299
6.448,-0.00366539664792267
6.4495,-0.00366708111174024
6.451,-0.00366876593197006
6.4525,-0.00367045110852259
6.454,-0.00367213664130352
6.4555,-0.00367382253023008
6.457,-0.00367550877520986
6.4585,-0.00367719537615045
6.46,-0.00367888233296524
6.4615,-0.00368056964556085
6.463,-0.00368225731384488
6.4645,-0.00368394533772974
6.466,-0.0036856337171211
6.4675,-0.00368732245192847
6.469,-0.00368901154205463
6.4705,-0.00369070098741392
6.472,-0.00369239078790622
6.4735,-0.00369408094344298
6.475,-0.00369577145392696
6.4765,-0.00369746231926673
6.478,-0.00369915353936504
6.4795,-0.00370084511413144
6.481,-0.00370253704346481
6.4825,-0.0037042293272718
6.484,-0.00370592196545709
6.4855,-0.00370761495792539
6.487,-0.00370930830457754
6.4885,-0.00371100200531823
6.49,-0.00371269606004831
6.4915,-0.00371439046867342
6.493,-0.00371608523109057
6.4945,-0.00371778034720636
6.496,-0.00371947581691586
6.4975,-0.00372117164012665
6.499,-0.00372286781673282
6.5005,-0.00372456434663907
6.502,-0.00372626122974238
6.5035,-0.00372795846594261
6.505,-0.00372965605513966
6.5065,-0.00373135399722855
6.508,-0.00373305229211207
6.5095,-0.0037347509396843
6.511,-0.00373644993984414
6.5125,-0.00373814929248858
6.514,-0.00373984899751363
6.5155,-0.00374154905481627
6.517,-0.00374324946428962
6.5185,-0.00374495022583355
6.52,-0.00374665133933733
6.5215,-0.00374835280470083
6.523,-0.00375005462181331
6.5245,-0.00375175679057464
6.526,-0.00375345931087022
6.5275,-0.00375516218259994
6.529,-0.00375686540565207
6.5305,-0.00375856897992265
6.532,-0.003760272905299
6.5335,-0.0037619771816752
6.535,-0.00376368180893569
6.5365,-0.00376538678698131
6.538,-0.00376709211569457
6.5395,-0.00376879779496955
6.541,-0.00377050382469069
6.5425,-0.00377221020475111
6.544,-0.0037739169350362
6.5455,-0.00377562401543234
6.547,-0.00377733144583169
6.5485,-0.00377903922611577
6.55,-0.00378074735617579
6.5515,-0.00378245583589521
6.553,-0.00378416466515944
6.5545,-0.00378587384385388
6.556,-0.00378758337186392
6.5575,-0.00378929324907401
6.559,-0.00379100347536568
6.5605,-0.00379271405062628
6.562,-0.00379442497473347
6.5635,-0.00379613624757266
6.565,-0.00379784786902637
6.5665,-0.00379955983897419
6.568,-0.00380127215729864
6.5695,-0.00380298482387836
6.571,-0.00380469783859394
6.5725,-0.00380641120132401
6.574,-0.00380812491195109
6.5755,-0.00380983897035382
6.577,-0.00381155337640313
6.5785,-0.00381326812998443
6.58,-0.0038149832309696
6.5815,-0.00381669867923729
6.583,-0.00381841447466519
6.5845,-0.00382013061712712
6.586,-0.00382184710649979
6.5875,-0.00382356394265028
6.589,-0.00382528112546302
6.5905,-0.00382699865480701
6.592,-0.00382871653055414
6.5935,-0.0038304347525792
6.595,-0.0038321533207512
6.5965,-0.00383387223494684
6.598,-0.00383559149503223
6.5995,-0.00383731110087734
6.601,-0.00383903105235599
6.6025,-0.00384075134933427
6.604,-0.00384247199168313
6.6055,-0.00384419297927059
6.607,-0.00384591431196373
6.6085,-0.00384763598962768
6.61,-0.00384935801213047
6.6115,-0.00385108037934208
6.613,-0.00385280309112281
6.6145,-0.0038545261473407
6.616,-0.00385624954785895
6.6175,-0.00385797329253789
6.619,-0.00385969738124651
6.6205,-0.00386142181384609
6.622,-0.00386314659019695
6.6235,-0.00386487171016133
6.625,-0.00386659717360147
6.6265,-0.0038683229803777
6.628,-0.00387004913034549
